Acceleration [m/s^2],time [s],Y(f),Frequency [Hz]
8.26E-03,495.3,,
7.18E-03,495.31,,
3.38E-03,495.32,,
3.62E-03,495.33,,
3.46E-03,495.34,,
8.55E-04,495.35,,
-1.76E-04,495.36,,
2.28E-03,495.37,,
2.35E-03,495.38,,
3.11E-04,495.39,,
-9.10E-05,495.4,,
-3.50E-03,495.41,,
-8.61E-03,495.42,,
-8.92E-03,495.43,,
-7.00E-03,495.44,,
-8.15E-03,495.45,,
-5.51E-03,495.46,,
-2.13E-03,495.47,,
-3.46E-03,495.48,,
-1.50E-03,495.49,,
4.11E-04,495.5,,
1.63E-03,495.51,,
1.34E-03,495.52,,
1.72E-03,495.53,,
4.01E-03,495.54,,
5.33E-03,495.55,,
7.18E-03,495.56,,
7.56E-03,495.57,,
7.68E-03,495.58,,
6.93E-03,495.59,,
5.55E-03,495.6,,
5.31E-03,495.61,,
2.48E-03,495.62,,
5.01E-04,495.63,,
-3.15E-03,495.64,,
-6.97E-03,495.65,,
-7.75E-03,495.66,,
-7.01E-03,495.67,,
-6.85E-03,495.68,,
-6.05E-03,495.69,,
-5.20E-03,495.7,,
-5.69E-03,495.71,,
-8.35E-03,495.72,,
-1.02E-02,495.73,,
-8.17E-03,495.74,,
-4.63E-03,495.75,,
1.40E-04,495.76,,
6.77E-03,495.77,,
9.67E-03,495.78,,
9.11E-03,495.79,,
6.26E-03,495.8,,
7.85E-03,495.81,,
7.63E-03,495.82,,
5.94E-03,495.83,,
6.99E-03,495.84,,
8.18E-03,495.85,,
5.19E-03,495.86,,
3.86E-03,495.87,,
3.88E-03,495.88,,
-1.39E-03,495.89,,
-4.66E-03,495.9,,
-5.85E-03,495.91,,
-7.73E-03,495.92,,
-9.79E-03,495.93,,
-9.04E-03,495.94,,
-7.91E-03,495.95,,
-8.20E-03,495.96,,
-7.05E-03,495.97,,
-4.98E-03,495.98,,
-3.10E-03,495.99,,
-2.04E-03,496,,
-8.11E-04,496.01,,
3.74E-03,496.02,,
5.15E-03,496.03,,
5.75E-03,496.04,,
8.56E-03,496.05,,
9.94E-03,496.06,,
8.85E-03,496.07,,
1.06E-02,496.08,,
9.31E-03,496.09,,
4.94E-03,496.1,,
2.39E-03,496.11,,
2.13E-03,496.12,,
3.93E-04,496.13,,
-1.32E-03,496.14,,
-3.64E-03,496.15,,
-6.59E-03,496.16,,
-9.33E-03,496.17,,
-9.66E-03,496.18,,
-1.13E-02,496.19,,
-1.06E-02,496.2,,
-6.85E-03,496.21,,
-4.00E-03,496.22,,
-2.96E-03,496.23,,
-4.37E-03,496.24,,
-3.17E-03,496.25,,
-1.84E-03,496.26,,
9.14E-04,496.27,,
5.68E-03,496.28,,
1.20E-02,496.29,,
1.08E-02,496.3,,
8.67E-03,496.31,,
8.63E-03,496.32,,
9.51E-03,496.33,,
5.62E-03,496.34,,
5.51E-03,496.35,,
7.81E-03,496.36,,
4.77E-03,496.37,,
3.81E-04,496.38,,
-2.95E-03,496.39,,
-3.69E-03,496.4,,
-6.79E-03,496.41,,
-9.64E-03,496.42,,
-9.65E-03,496.43,,
-9.09E-03,496.44,,
-9.35E-03,496.45,,
-8.95E-03,496.46,,
-7.61E-03,496.47,,
-5.97E-03,496.48,,
-3.01E-03,496.49,,
-2.90E-03,496.5,,
-1.83E-04,496.51,,
4.16E-03,496.52,,
4.37E-03,496.53,,
6.27E-03,496.54,,
8.33E-03,496.55,,
1.08E-02,496.56,,
1.00E-02,496.57,,
7.96E-03,496.58,,
8.39E-03,496.59,,
6.86E-03,496.6,,
3.65E-03,496.61,,
1.29E-03,496.62,,
9.25E-04,496.63,,
-1.41E-03,496.64,,
-6.31E-03,496.65,,
-6.56E-03,496.66,,
-6.65E-03,496.67,,
-8.96E-03,496.68,,
-1.00E-02,496.69,,
-9.73E-03,496.7,,
-8.87E-03,496.71,,
-8.95E-03,496.72,,
-5.58E-03,496.73,,
-1.94E-03,496.74,,
9.08E-05,496.75,,
2.62E-03,496.76,,
3.96E-03,496.77,,
3.03E-03,496.78,,
3.47E-03,496.79,,
6.40E-03,496.8,,
9.23E-03,496.81,,
1.05E-02,496.82,,
1.25E-02,496.83,,
1.03E-02,496.84,,
4.61E-03,496.85,,
7.18E-04,496.86,,
-1.20E-03,496.87,,
-4.45E-04,496.88,,
1.33E-03,496.89,,
4.13E-04,496.9,,
-4.74E-03,496.91,,
-9.23E-03,496.92,,
-9.92E-03,496.93,,
-8.99E-03,496.94,,
-1.07E-02,496.95,,
-9.59E-03,496.96,,
-6.15E-03,496.97,,
-5.82E-03,496.98,,
-5.06E-03,496.99,,
-1.36E-03,497,,
2.74E-03,497.01,,
2.46E-03,497.02,,
2.99E-03,497.03,,
8.18E-03,497.04,,
8.28E-03,497.05,,
7.22E-03,497.06,,
7.39E-03,497.07,,
7.16E-03,497.08,,
6.46E-03,497.09,,
7.13E-03,497.1,,
6.47E-03,497.11,,
4.42E-03,497.12,,
8.01E-04,497.13,,
-3.11E-03,497.14,,
-5.89E-03,497.15,,
-7.73E-03,497.16,,
-5.71E-03,497.17,,
-5.63E-03,497.18,,
-8.87E-03,497.19,,
-8.95E-03,497.2,,
-4.83E-03,497.21,,
-5.54E-03,497.22,,
-4.33E-03,497.23,,
-2.51E-03,497.24,,
-9.32E-04,497.25,,
2.11E-03,497.26,,
4.17E-03,497.27,,
8.37E-03,497.28,,
8.05E-03,497.29,,
6.42E-03,497.3,,
6.62E-03,497.31,,
5.19E-03,497.32,,
3.20E-03,497.33,,
6.28E-03,497.34,,
6.15E-03,497.35,,
3.30E-03,497.36,,
1.45E-03,497.37,,
1.35E-03,497.38,,
-2.92E-03,497.39,,
-6.74E-03,497.4,,
-5.00E-03,497.41,,
-5.19E-03,497.42,,
-5.74E-03,497.43,,
-6.13E-03,497.44,,
-5.31E-03,497.45,,
-4.92E-03,497.46,,
-5.95E-03,497.47,,
-3.79E-03,497.48,,
-7.80E-04,497.49,,
2.26E-03,497.5,,
3.51E-03,497.51,,
4.32E-03,497.52,,
4.52E-03,497.53,,
4.70E-03,497.54,,
5.03E-03,497.55,,
5.67E-03,497.56,,
5.15E-03,497.57,,
6.42E-03,497.58,,
5.25E-03,497.59,,
4.73E-03,497.6,,
1.45E-03,497.61,,
4.42E-04,497.62,,
-1.27E-04,497.63,,
-2.67E-03,497.64,,
-2.55E-03,497.65,,
-4.72E-03,497.66,,
-5.83E-03,497.67,,
-7.40E-03,497.68,,
-5.39E-03,497.69,,
-3.40E-03,497.7,,
-5.42E-03,497.71,,
-4.43E-03,497.72,,
-1.98E-03,497.73,,
-1.54E-03,497.74,,
5.37E-04,497.75,,
1.84E-03,497.76,,
1.49E-03,497.77,,
3.05E-03,497.78,,
4.99E-03,497.79,,
3.88E-03,497.8,,
3.99E-03,497.81,,
6.15E-03,497.82,,
5.04E-03,497.83,,
4.22E-03,497.84,,
2.17E-03,497.85,,
1.10E-03,497.86,,
7.70E-04,497.87,,
-3.27E-04,497.88,,
-8.65E-04,497.89,,
-2.89E-03,497.9,,
-4.16E-03,497.91,,
-6.09E-03,497.92,,
-3.75E-03,497.93,,
-2.47E-03,497.94,,
-2.95E-03,497.95,,
-2.70E-03,497.96,,
-2.36E-03,497.97,,
-3.53E-03,497.98,,
-1.95E-03,497.99,,
-2.95E-04,498,,
-6.75E-04,498.01,,
1.32E-03,498.02,,
3.05E-03,498.03,,
4.48E-03,498.04,,
5.04E-03,498.05,,
4.98E-03,498.06,,
4.24E-03,498.07,,
1.91E-03,498.08,,
1.78E-03,498.09,,
2.78E-03,498.1,,
2.48E-03,498.11,,
2.99E-04,498.12,,
9.40E-04,498.13,,
-4.52E-04,498.14,,
-3.80E-03,498.15,,
-4.05E-03,498.16,,
-3.34E-03,498.17,,
-2.36E-03,498.18,,
-1.85E-03,498.19,,
-1.17E-03,498.2,,
-3.09E-03,498.21,,
-3.04E-03,498.22,,
-1.61E-03,498.23,,
-8.44E-04,498.24,,
-1.61E-03,498.25,,
9.67E-04,498.26,,
4.96E-03,498.27,,
3.87E-03,498.28,,
2.45E-03,498.29,,
3.73E-03,498.3,,
3.74E-03,498.31,,
1.93E-03,498.32,,
2.37E-03,498.33,,
4.06E-03,498.34,,
1.76E-03,498.35,,
1.17E-03,498.36,,
1.30E-03,498.37,,
-1.01E-03,498.38,,
-3.85E-03,498.39,,
-3.34E-03,498.4,,
-1.14E-03,498.41,,
-4.94E-04,498.42,,
2.75E-04,498.43,,
-8.41E-04,498.44,,
-2.70E-03,498.45,,
-1.96E-03,498.46,,
-9.99E-04,498.47,,
-1.34E-03,498.48,,
-1.44E-03,498.49,,
7.24E-04,498.5,,
3.95E-03,498.51,,
3.20E-03,498.52,,
6.33E-04,498.53,,
1.20E-03,498.54,,
2.40E-03,498.55,,
6.40E-04,498.56,,
1.63E-03,498.57,,
2.96E-03,498.58,,
1.12E-03,498.59,,
1.14E-03,498.6,,
2.09E-03,498.61,,
7.21E-04,498.62,,
-7.85E-04,498.63,,
-2.26E-03,498.64,,
-1.23E-03,498.65,,
-6.66E-04,498.66,,
-2.19E-03,498.67,,
-8.07E-04,498.68,,
-4.56E-05,498.69,,
-5.63E-04,498.7,,
-1.33E-03,498.71,,
-1.87E-03,498.72,,
-3.98E-03,498.73,,
-2.26E-03,498.74,,
4.59E-04,498.75,,
1.97E-03,498.76,,
1.62E-03,498.77,,
7.95E-04,498.78,,
5.16E-04,498.79,,
-9.53E-04,498.8,,
-3.43E-05,498.81,,
1.98E-03,498.82,,
1.24E-03,498.83,,
9.92E-04,498.84,,
2.53E-03,498.85,,
2.02E-03,498.86,,
2.77E-04,498.87,,
-2.44E-04,498.88,,
-1.86E-04,498.89,,
4.86E-05,498.9,,
-3.50E-04,498.91,,
-2.01E-03,498.92,,
-1.39E-03,498.93,,
4.69E-04,498.94,,
1.62E-03,498.95,,
-7.87E-04,498.96,,
-3.67E-03,498.97,,
-1.09E-03,498.98,,
-1.29E-03,498.99,,
-2.83E-04,499,,
6.95E-04,499.01,,
7.52E-04,499.02,,
-7.07E-04,499.03,,
-6.70E-04,499.04,,
5.71E-05,499.05,,
9.64E-04,499.06,,
8.65E-04,499.07,,
9.42E-04,499.08,,
-1.71E-04,499.09,,
-8.19E-04,499.1,,
1.02E-03,499.11,,
1.71E-03,499.12,,
2.46E-03,499.13,,
6.44E-04,499.14,,
1.04E-04,499.15,,
-5.72E-04,499.16,,
-4.66E-04,499.17,,
-2.28E-04,499.18,,
2.87E-04,499.19,,
8.10E-04,499.2,,
-1.12E-03,499.21,,
-1.58E-03,499.22,,
7.12E-04,499.23,,
-2.62E-04,499.24,,
-8.62E-04,499.25,,
-1.39E-03,499.26,,
-6.66E-04,499.27,,
8.76E-04,499.28,,
2.99E-04,499.29,,
-3.98E-04,499.3,,
-1.44E-03,499.31,,
-2.11E-03,499.32,,
-2.46E-03,499.33,,
-1.55E-03,499.34,,
9.89E-04,499.35,,
2.52E-03,499.36,,
1.76E-03,499.37,,
8.54E-04,499.38,,
1.55E-03,499.39,,
3.23E-03,499.4,,
1.44E-03,499.41,,
-6.09E-04,499.42,,
-2.08E-04,499.43,,
-3.34E-04,499.44,,
-1.18E-03,499.45,,
-9.62E-04,499.46,,
3.76E-04,499.47,,
1.17E-03,499.48,,
-7.03E-04,499.49,,
-2.80E-03,499.5,,
-2.93E-03,499.51,,
-2.15E-03,499.52,,
-2.61E-03,499.53,,
-1.91E-03,499.54,,
1.21E-03,499.55,,
1.34E-03,499.56,,
-6.55E-04,499.57,,
-2.13E-03,499.58,,
-1.72E-03,499.59,,
-6.53E-04,499.6,,
6.03E-05,499.61,,
3.51E-04,499.62,,
1.15E-03,499.63,,
2.44E-03,499.64,,
1.23E-03,499.65,,
8.54E-04,499.66,,
6.75E-04,499.67,,
-1.43E-04,499.68,,
-2.23E-04,499.69,,
1.08E-03,499.7,,
1.05E-03,499.71,,
-1.20E-03,499.72,,
-2.43E-04,499.73,,
1.11E-03,499.74,,
-1.87E-03,499.75,,
-2.50E-03,499.76,,
-1.95E-03,499.77,,
-2.24E-03,499.78,,
-2.84E-03,499.79,,
-1.15E-03,499.8,,
-2.62E-04,499.81,,
-1.06E-03,499.82,,
-8.53E-04,499.83,,
3.22E-04,499.84,,
7.63E-04,499.85,,
-1.47E-03,499.86,,
6.63E-04,499.87,,
1.49E-03,499.88,,
1.18E-03,499.89,,
5.85E-04,499.9,,
1.75E-03,499.91,,
9.22E-04,499.92,,
1.51E-03,499.93,,
7.52E-04,499.94,,
9.24E-04,499.95,,
8.63E-04,499.96,,
9.60E-04,499.97,,
-1.82E-04,499.98,,
-2.53E-03,499.99,,
-9.87E-04,500,,
-1.56E-03,500.01,,
-3.54E-03,500.02,,
-3.25E-03,500.03,,
-1.37E-03,500.04,,
-1.82E-03,500.05,,
-1.74E-03,500.06,,
-1.43E-03,500.07,,
-1.40E-03,500.08,,
-5.36E-04,500.09,,
-9.47E-05,500.1,,
9.00E-04,500.11,,
1.99E-03,500.12,,
8.83E-04,500.13,,
1.25E-03,500.14,,
2.39E-03,500.15,,
1.42E-03,500.16,,
1.06E-03,500.17,,
9.69E-04,500.18,,
1.54E-03,500.19,,
-8.88E-04,500.2,,
-5.44E-04,500.21,,
-6.86E-04,500.22,,
-9.87E-04,500.23,,
-2.07E-03,500.24,,
-1.18E-03,500.25,,
-1.74E-03,500.26,,
-2.72E-03,500.27,,
-1.84E-03,500.28,,
3.63E-04,500.29,,
-2.43E-04,500.3,,
-1.18E-03,500.31,,
-1.56E-04,500.32,,
-4.39E-04,500.33,,
1.05E-04,500.34,,
8.35E-04,500.35,,
8.90E-04,500.36,,
9.97E-04,500.37,,
2.49E-03,500.38,,
3.03E-03,500.39,,
2.61E-03,500.4,,
1.90E-03,500.41,,
2.59E-03,500.42,,
1.97E-03,500.43,,
2.21E-03,500.44,,
2.33E-03,500.45,,
-1.50E-03,500.46,,
-2.32E-03,500.47,,
-1.26E-03,500.48,,
-1.17E-03,500.49,,
-4.58E-03,500.5,,
-3.30E-03,500.51,,
-1.83E-04,500.52,,
-9.90E-04,500.53,,
-1.04E-03,500.54,,
-8.78E-04,500.55,,
-1.52E-03,500.56,,
-2.89E-03,500.57,,
-2.17E-03,500.58,,
-6.04E-04,500.59,,
-9.68E-05,500.6,,
8.79E-04,500.61,,
1.97E-03,500.62,,
4.32E-03,500.63,,
2.33E-03,500.64,,
9.77E-04,500.65,,
1.99E-03,500.66,,
1.70E-03,500.67,,
9.64E-04,500.68,,
2.64E-03,500.69,,
3.36E-03,500.7,,
1.32E-03,500.71,,
-7.56E-05,500.72,,
-9.60E-04,500.73,,
-2.62E-03,500.74,,
-2.48E-03,500.75,,
-9.94E-04,500.76,,
-1.30E-03,500.77,,
-1.69E-03,500.78,,
-1.33E-03,500.79,,
-2.24E-03,500.8,,
-2.09E-03,500.81,,
-2.97E-03,500.82,,
-2.00E-03,500.83,,
-8.65E-04,500.84,,
2.83E-04,500.85,,
1.17E-03,500.86,,
2.17E-03,500.87,,
3.15E-03,500.88,,
3.46E-03,500.89,,
2.19E-03,500.9,,
7.45E-04,500.91,,
5.19E-04,500.92,,
1.19E-03,500.93,,
1.21E-03,500.94,,
-1.81E-04,500.95,,
8.85E-04,500.96,,
2.34E-04,500.97,,
1.73E-04,500.98,,
-1.23E-03,500.99,,
-1.17E-03,501,,
-1.93E-03,501.01,,
-4.58E-03,501.02,,
-3.25E-03,501.03,,
-2.55E-03,501.04,,
-1.50E-03,501.05,,
-4.28E-04,501.06,,
-6.15E-04,501.07,,
-7.54E-04,501.08,,
-8.90E-05,501.09,,
2.65E-04,501.1,,
-1.85E-04,501.11,,
2.16E-03,501.12,,
3.21E-03,501.13,,
3.45E-03,501.14,,
2.11E-03,501.15,,
2.42E-03,501.16,,
3.25E-03,501.17,,
-2.16E-04,501.18,,
2.33E-04,501.19,,
2.32E-04,501.2,,
-3.15E-04,501.21,,
-5.74E-04,501.22,,
-1.84E-03,501.23,,
-7.04E-04,501.24,,
-4.26E-04,501.25,,
-1.84E-03,501.26,,
-1.81E-03,501.27,,
-1.64E-03,501.28,,
-1.23E-03,501.29,,
-5.93E-04,501.3,,
-1.17E-03,501.31,,
-1.80E-03,501.32,,
2.91E-04,501.33,,
2.02E-03,501.34,,
8.22E-04,501.35,,
8.68E-04,501.36,,
1.83E-03,501.37,,
7.63E-04,501.38,,
9.81E-04,501.39,,
1.59E-03,501.4,,
2.71E-03,501.41,,
1.86E-03,501.42,,
1.31E-03,501.43,,
1.00E-03,501.44,,
9.34E-04,501.45,,
-2.93E-04,501.46,,
-1.55E-03,501.47,,
-1.64E-03,501.48,,
-3.03E-04,501.49,,
-2.07E-04,501.5,,
-9.47E-04,501.51,,
-1.56E-03,501.52,,
-2.63E-03,501.53,,
-1.72E-03,501.54,,
-5.04E-04,501.55,,
-1.43E-03,501.56,,
-7.50E-04,501.57,,
6.29E-04,501.58,,
-3.89E-04,501.59,,
3.14E-04,501.6,,
-1.28E-04,501.61,,
1.90E-03,501.62,,
1.86E-03,501.63,,
2.84E-03,501.64,,
1.46E-03,501.65,,
-2.01E-04,501.66,,
1.80E-03,501.67,,
8.55E-04,501.68,,
6.95E-04,501.69,,
1.36E-03,501.7,,
2.00E-03,501.71,,
-2.28E-04,501.72,,
-1.96E-03,501.73,,
-2.62E-03,501.74,,
-1.90E-03,501.75,,
-1.05E-03,501.76,,
-2.25E-03,501.77,,
-2.07E-03,501.78,,
-1.36E-03,501.79,,
-1.57E-03,501.8,,
-1.06E-03,501.81,,
-7.99E-04,501.82,,
-1.02E-03,501.83,,
-4.60E-04,501.84,,
6.78E-04,501.85,,
7.75E-04,501.86,,
1.49E-03,501.87,,
4.22E-04,501.88,,
1.92E-03,501.89,,
1.98E-03,501.9,,
1.37E-03,501.91,,
2.24E-03,501.92,,
7.10E-04,501.93,,
3.85E-04,501.94,,
2.53E-04,501.95,,
-7.72E-04,501.96,,
-1.76E-04,501.97,,
1.12E-03,501.98,,
-2.04E-04,501.99,,
-1.58E-03,502,,
-2.32E-03,502.01,,
-2.67E-03,502.02,,
-1.93E-03,502.03,,
-1.35E-03,502.04,,
-7.85E-04,502.05,,
8.38E-04,502.06,,
9.83E-05,502.07,,
-9.46E-04,502.08,,
6.32E-04,502.09,,
1.78E-03,502.1,,
4.12E-04,502.11,,
2.12E-03,502.12,,
1.97E-03,502.13,,
-1.24E-03,502.14,,
1.81E-03,502.15,,
2.44E-03,502.16,,
-1.73E-04,502.17,,
2.85E-04,502.18,,
1.85E-03,502.19,,
4.76E-04,502.2,,
-8.39E-04,502.21,,
-1.55E-03,502.22,,
-1.44E-03,502.23,,
-4.34E-04,502.24,,
-4.47E-05,502.25,,
1.83E-04,502.26,,
-9.30E-04,502.27,,
-1.15E-03,502.28,,
-9.39E-04,502.29,,
-6.32E-04,502.3,,
-1.01E-03,502.31,,
5.77E-04,502.32,,
-2.00E-04,502.33,,
3.51E-04,502.34,,
5.65E-04,502.35,,
4.37E-04,502.36,,
8.24E-04,502.37,,
4.28E-04,502.38,,
1.10E-03,502.39,,
1.52E-03,502.4,,
3.39E-04,502.41,,
2.69E-04,502.42,,
1.58E-04,502.43,,
3.93E-04,502.44,,
2.16E-06,502.45,,
6.02E-04,502.46,,
1.05E-03,502.47,,
-7.28E-04,502.48,,
-3.95E-05,502.49,,
5.41E-04,502.5,,
-1.33E-03,502.51,,
-1.07E-03,502.52,,
4.70E-04,502.53,,
-3.78E-04,502.54,,
-4.29E-04,502.55,,
5.49E-04,502.56,,
1.02E-03,502.57,,
-9.66E-04,502.58,,
-1.97E-03,502.59,,
-3.35E-04,502.6,,
1.22E-03,502.61,,
6.32E-04,502.62,,
7.44E-05,502.63,,
4.19E-04,502.64,,
3.70E-04,502.65,,
6.80E-04,502.66,,
-1.14E-04,502.67,,
-6.55E-04,502.68,,
-9.22E-04,502.69,,
7.15E-04,502.7,,
8.62E-04,502.71,,
-3.80E-04,502.72,,
1.07E-03,502.73,,
5.77E-04,502.74,,
2.04E-04,502.75,,
-9.22E-04,502.76,,
-5.42E-04,502.77,,
-6.04E-04,502.78,,
-1.39E-03,502.79,,
-3.03E-04,502.8,,
-1.81E-03,502.81,,
-1.84E-03,502.82,,
1.17E-04,502.83,,
-2.91E-04,502.84,,
6.90E-04,502.85,,
3.28E-04,502.86,,
1.08E-03,502.87,,
1.40E-03,502.88,,
9.20E-05,502.89,,
1.33E-03,502.9,,
8.44E-04,502.91,,
1.05E-04,502.92,,
4.87E-04,502.93,,
1.10E-03,502.94,,
-5.93E-04,502.95,,
-5.04E-04,502.96,,
3.03E-04,502.97,,
6.15E-05,502.98,,
9.07E-04,502.99,,
-4.49E-04,503,,
-4.19E-04,503.01,,
-1.34E-04,503.02,,
-8.74E-04,503.03,,
-7.80E-04,503.04,,
-1.60E-04,503.05,,
-7.98E-05,503.06,,
-7.82E-04,503.07,,
-1.14E-03,503.08,,
-1.07E-03,503.09,,
-2.15E-04,503.1,,
-1.14E-04,503.11,,
-1.16E-03,503.12,,
-8.85E-04,503.13,,
1.90E-05,503.14,,
2.57E-04,503.15,,
7.39E-04,503.16,,
3.02E-04,503.17,,
-5.16E-04,503.18,,
-1.34E-04,503.19,,
9.91E-04,503.2,,
6.81E-04,503.21,,
9.99E-04,503.22,,
-3.64E-04,503.23,,
1.13E-04,503.24,,
8.90E-04,503.25,,
-9.34E-04,503.26,,
1.09E-03,503.27,,
7.82E-04,503.28,,
-1.17E-03,503.29,,
-3.41E-04,503.3,,
-1.45E-04,503.31,,
-1.61E-03,503.32,,
-2.03E-03,503.33,,
-7.21E-04,503.34,,
1.48E-03,503.35,,
-7.01E-04,503.36,,
-1.18E-03,503.37,,
9.57E-04,503.38,,
5.86E-04,503.39,,
1.26E-03,503.4,,
9.74E-04,503.41,,
6.74E-04,503.42,,
-7.02E-04,503.43,,
-9.65E-04,503.44,,
3.42E-04,503.45,,
5.51E-04,503.46,,
2.72E-04,503.47,,
2.03E-03,503.48,,
2.12E-03,503.49,,
1.27E-03,503.5,,
5.72E-04,503.51,,
3.03E-05,503.52,,
-6.14E-04,503.53,,
-8.84E-04,503.54,,
-8.45E-04,503.55,,
-5.20E-04,503.56,,
-1.42E-04,503.57,,
-8.58E-04,503.58,,
-8.37E-04,503.59,,
-5.40E-04,503.6,,
-1.57E-03,503.61,,
-1.46E-03,503.62,,
1.31E-03,503.63,,
6.15E-04,503.64,,
1.89E-04,503.65,,
3.02E-04,503.66,,
4.25E-04,503.67,,
3.36E-04,503.68,,
1.02E-03,503.69,,
1.80E-04,503.7,,
-1.20E-03,503.71,,
-1.04E-04,503.72,,
6.50E-04,503.73,,
8.04E-04,503.74,,
-7.97E-04,503.75,,
6.14E-04,503.76,,
6.86E-04,503.77,,
-8.44E-04,503.78,,
-8.16E-04,503.79,,
-1.36E-03,503.8,,
-1.12E-03,503.81,,
-1.69E-03,503.82,,
-1.48E-03,503.83,,
-2.84E-04,503.84,,
-3.14E-04,503.85,,
-2.90E-04,503.86,,
-3.79E-04,503.87,,
-7.79E-04,503.88,,
-1.07E-03,503.89,,
4.42E-04,503.9,,
-4.68E-04,503.91,,
-6.46E-04,503.92,,
1.44E-03,503.93,,
1.43E-03,503.94,,
1.55E-04,503.95,,
5.73E-04,503.96,,
1.13E-03,503.97,,
-3.20E-04,503.98,,
3.84E-04,503.99,,
1.07E-03,504,,
5.85E-06,504.01,,
-3.31E-04,504.02,,
1.08E-03,504.03,,
2.06E-04,504.04,,
-1.25E-04,504.05,,
8.31E-04,504.06,,
3.52E-04,504.07,,
-2.27E-03,504.08,,
-1.22E-03,504.09,,
-1.50E-03,504.1,,
-1.36E-03,504.11,,
-3.13E-04,504.12,,
5.55E-04,504.13,,
-2.25E-04,504.14,,
-7.07E-04,504.15,,
2.72E-05,504.16,,
-6.24E-04,504.17,,
-2.02E-04,504.18,,
1.05E-03,504.19,,
2.93E-03,504.2,,
1.37E-03,504.21,,
7.95E-04,504.22,,
1.47E-03,504.23,,
6.13E-04,504.24,,
1.36E-03,504.25,,
3.24E-04,504.26,,
1.51E-03,504.27,,
-6.33E-04,504.28,,
-5.25E-04,504.29,,
9.03E-04,504.3,,
-4.85E-04,504.31,,
-1.17E-03,504.32,,
-5.60E-04,504.33,,
3.51E-04,504.34,,
-9.51E-04,504.35,,
-8.95E-05,504.36,,
1.11E-03,504.37,,
-3.26E-04,504.38,,
-4.70E-04,504.39,,
8.15E-04,504.4,,
1.59E-03,504.41,,
9.38E-04,504.42,,
6.76E-04,504.43,,
-3.62E-04,504.44,,
-8.68E-05,504.45,,
-1.45E-04,504.46,,
8.52E-04,504.47,,
1.01E-03,504.48,,
-8.77E-04,504.49,,
-1.85E-04,504.5,,
1.39E-03,504.51,,
2.38E-04,504.52,,
-6.22E-04,504.53,,
-1.61E-04,504.54,,
-1.48E-05,504.55,,
3.93E-04,504.56,,
-4.92E-04,504.57,,
8.12E-05,504.58,,
-2.54E-04,504.59,,
-1.08E-04,504.6,,
-2.05E-03,504.61,,
-2.50E-04,504.62,,
-3.95E-05,504.63,,
1.72E-04,504.64,,
1.04E-03,504.65,,
-2.04E-04,504.66,,
1.12E-03,504.67,,
7.58E-04,504.68,,
3.42E-04,504.69,,
4.69E-04,504.7,,
9.36E-04,504.71,,
1.23E-03,504.72,,
7.63E-04,504.73,,
-2.19E-04,504.74,,
2.38E-04,504.75,,
-2.65E-04,504.76,,
1.21E-03,504.77,,
4.80E-04,504.78,,
1.41E-04,504.79,,
4.60E-04,504.8,,
-8.73E-04,504.81,,
-1.22E-04,504.82,,
7.19E-04,504.83,,
-5.94E-05,504.84,,
-6.57E-04,504.85,,
-1.49E-04,504.86,,
-9.25E-04,504.87,,
-6.96E-04,504.88,,
4.83E-04,504.89,,
-2.74E-04,504.9,,
-9.34E-04,504.91,,
7.32E-04,504.92,,
1.08E-03,504.93,,
-9.92E-04,504.94,,
5.59E-04,504.95,,
1.26E-03,504.96,,
-1.99E-04,504.97,,
9.17E-04,504.98,,
1.81E-03,504.99,,
3.35E-04,505,,
-7.77E-04,505.01,,
-3.01E-04,505.02,,
-1.16E-03,505.03,,
9.25E-04,505.04,,
4.73E-04,505.05,,
-3.00E-04,505.06,,
-1.09E-04,505.07,,
-9.95E-04,505.08,,
9.71E-05,505.09,,
1.27E-04,505.1,,
-7.42E-04,505.11,,
-5.86E-05,505.12,,
-3.74E-04,505.13,,
-5.41E-04,505.14,,
-9.82E-04,505.15,,
-4.77E-04,505.16,,
-6.33E-04,505.17,,
-8.39E-04,505.18,,
1.21E-03,505.19,,
2.60E-04,505.2,,
1.16E-04,505.21,,
2.59E-04,505.22,,
5.22E-04,505.23,,
4.86E-04,505.24,,
3.56E-04,505.25,,
8.29E-04,505.26,,
5.86E-04,505.27,,
1.26E-03,505.28,,
1.01E-03,505.29,,
1.87E-03,505.3,,
3.72E-04,505.31,,
-2.03E-04,505.32,,
-4.90E-04,505.33,,
-1.69E-04,505.34,,
-6.59E-04,505.35,,
-1.67E-04,505.36,,
-6.08E-04,505.37,,
-6.97E-04,505.38,,
-2.34E-04,505.39,,
-4.50E-04,505.4,,
-5.39E-04,505.41,,
-4.14E-04,505.42,,
1.37E-04,505.43,,
1.94E-04,505.44,,
5.28E-04,505.45,,
1.77E-03,505.46,,
1.36E-03,505.47,,
5.65E-04,505.48,,
-1.81E-04,505.49,,
1.09E-03,505.5,,
3.15E-04,505.51,,
-3.94E-04,505.52,,
-4.53E-04,505.53,,
3.10E-04,505.54,,
3.37E-04,505.55,,
-6.33E-04,505.56,,
4.12E-04,505.57,,
-4.20E-04,505.58,,
-5.67E-04,505.59,,
-1.11E-03,505.6,,
-7.19E-04,505.61,,
-8.11E-05,505.62,,
2.42E-04,505.63,,
-2.77E-04,505.64,,
