Acceleration [m/s^2],time [s],Y(f),Frequency [Hz]
8.40E-04,1.3,1.85E-05,1.805555556
1.44E-03,1.31,3.48E-05,1.819444444
1.61E-03,1.32,2.98E-05,1.833333333
9.59E-05,1.33,2.89E-05,1.847222222
1.13E-04,1.34,9.70E-05,1.861111111
-2.88E-04,1.35,3.83E-05,1.875
-1.33E-03,1.36,5.84E-05,1.888888889
8.64E-04,1.37,1.00E-05,1.902777778
3.20E-04,1.38,2.42E-05,1.916666667
-1.09E-03,1.39,8.01E-05,1.930555556
-7.91E-05,1.4,5.13E-05,1.944444444
1.36E-03,1.41,3.01E-05,1.958333333
8.17E-04,1.42,6.98E-05,1.972222222
-8.08E-04,1.43,6.57E-05,1.986111111
-3.08E-05,1.44,3.60E-05,2
4.83E-05,1.45,3.79E-05,2.013888889
-1.62E-04,1.46,3.29E-05,2.027777778
-4.43E-04,1.47,6.04E-05,2.041666667
-1.38E-04,1.48,5.25E-05,2.055555556
4.52E-04,1.49,5.89E-06,2.069444444
1.15E-06,1.5,3.58E-05,2.083333333
-3.62E-04,1.51,1.43E-05,2.097222222
-2.34E-03,1.52,3.84E-05,2.111111111
-7.32E-04,1.53,4.74E-05,2.125
1.39E-04,1.54,5.27E-06,2.138888889
6.17E-04,1.55,3.75E-05,2.152777778
1.28E-03,1.56,4.03E-05,2.166666667
-7.15E-04,1.57,5.86E-05,2.180555556
3.23E-04,1.58,4.46E-05,2.194444444
-1.45E-03,1.59,2.28E-05,2.208333333
-1.17E-03,1.6,1.45E-05,2.222222222
1.19E-03,1.61,2.96E-05,2.236111111
1.32E-03,1.62,3.55E-05,2.25
1.99E-03,1.63,5.25E-05,2.263888889
1.48E-03,1.64,4.48E-05,2.277777778
1.31E-03,1.65,5.57E-05,2.291666667
-1.06E-03,1.66,4.18E-05,2.305555556
-2.24E-04,1.67,3.71E-05,2.319444444
-1.10E-03,1.68,3.02E-05,2.333333333
-5.81E-04,1.69,3.14E-05,2.347222222
1.06E-04,1.7,3.94E-05,2.361111111
2.51E-03,1.71,1.96E-05,2.375
1.93E-03,1.72,5.56E-05,2.388888889
-1.73E-03,1.73,7.41E-06,2.402777778
-3.81E-03,1.74,9.14E-06,2.416666667
-3.76E-03,1.75,2.40E-05,2.430555556
-1.27E-03,1.76,2.44E-05,2.444444444
1.68E-03,1.77,2.66E-05,2.458333333
3.49E-03,1.78,1.69E-05,2.472222222
1.83E-03,1.79,3.61E-05,2.486111111
-1.10E-03,1.8,5.91E-05,2.5
-2.31E-03,1.81,4.58E-05,2.513888889
-1.30E-03,1.82,5.02E-05,2.527777778
2.69E-03,1.83,6.69E-05,2.541666667
4.50E-03,1.84,1.36E-05,2.555555556
3.99E-03,1.85,3.14E-05,2.569444444
6.47E-04,1.86,3.76E-05,2.583333333
-4.17E-04,1.87,4.82E-05,2.597222222
-2.00E-03,1.88,6.95E-05,2.611111111
-2.35E-03,1.89,3.69E-05,2.625
-1.20E-03,1.9,5.91E-05,2.638888889
1.64E-03,1.91,3.14E-05,2.652777778
1.39E-03,1.92,5.22E-05,2.666666667
-4.19E-04,1.93,3.78E-05,2.680555556
-2.04E-03,1.94,5.72E-05,2.694444444
-1.81E-03,1.95,6.10E-05,2.708333333
-1.42E-03,1.96,5.46E-05,2.722222222
-1.75E-03,1.97,3.11E-05,2.736111111
2.41E-04,1.98,3.81E-05,2.75
5.76E-04,1.99,0.000100557,2.763888889
1.98E-03,2,5.69E-05,2.777777778
9.38E-04,2.01,2.79E-05,2.791666667
-1.79E-03,2.02,3.04E-05,2.805555556
-2.56E-03,2.03,1.57E-05,2.819444444
-1.82E-03,2.04,4.72E-05,2.833333333
2.18E-03,2.05,5.83E-05,2.847222222
4.40E-03,2.06,1.97E-05,2.861111111
5.62E-03,2.07,6.38E-05,2.875
2.45E-03,2.08,2.82E-05,2.888888889
-1.17E-03,2.09,4.26E-05,2.902777778
-4.72E-03,2.1,0.000124708,2.916666667
-5.35E-03,2.11,5.61E-05,2.930555556
-1.70E-03,2.12,9.27E-05,2.944444444
2.04E-03,2.13,4.57E-05,2.958333333
3.85E-03,2.14,7.89E-05,2.972222222
2.82E-03,2.15,6.21E-05,2.986111111
-1.42E-03,2.16,8.71E-05,3
-5.00E-03,2.17,0.000105745,3.013888889
-5.19E-03,2.18,0.000122874,3.027777778
-4.57E-03,2.19,0.000141876,3.041666667
-3.19E-03,2.2,6.75E-05,3.055555556
2.86E-03,2.21,6.43E-05,3.069444444
7.66E-03,2.22,0.00010949,3.083333333
7.22E-03,2.23,0.000140343,3.097222222
3.42E-03,2.24,0.000100067,3.111111111
8.61E-04,2.25,0.000126479,3.125
-2.27E-03,2.26,5.72E-05,3.138888889
-5.65E-03,2.27,3.90E-05,3.152777778
-3.43E-03,2.28,0.000131489,3.166666667
2.08E-03,2.29,4.76E-05,3.180555556
4.95E-03,2.3,0.000125526,3.194444444
4.96E-03,2.31,2.14E-05,3.208333333
3.36E-03,2.32,0.000176184,3.222222222
-1.80E-03,2.33,0.000150964,3.236111111
-4.21E-03,2.34,0.000117518,3.25
-4.87E-03,2.35,7.64E-05,3.263888889
-5.15E-03,2.36,6.81E-05,3.277777778
-4.52E-03,2.37,0.000216623,3.291666667
-2.66E-03,2.38,6.24E-05,3.305555556
2.33E-03,2.39,0.000228359,3.319444444
5.27E-03,2.4,0.000111964,3.333333333
4.40E-03,2.41,0.000288171,3.347222222
2.40E-03,2.42,0.000121926,3.361111111
-1.89E-03,2.43,0.000137797,3.375
-5.03E-03,2.44,0.000110924,3.388888889
-3.40E-03,2.45,9.26E-05,3.402777778
1.04E-03,2.46,5.10E-05,3.416666667
4.33E-03,2.47,0.000223723,3.430555556
6.03E-03,2.48,0.000211011,3.444444444
2.59E-03,2.49,0.000140182,3.458333333
-1.67E-03,2.5,0.000182429,3.472222222
-1.97E-03,2.51,0.000128305,3.486111111
2.05E-03,2.52,0.000145581,3.5
3.04E-03,2.53,0.000148756,3.513888889
8.60E-04,2.54,0.000133348,3.527777778
-3.92E-03,2.55,0.000149126,3.541666667
-7.72E-03,2.56,0.00011998,3.555555556
-5.62E-03,2.57,0.000221104,3.569444444
1.84E-04,2.58,2.56E-05,3.583333333
4.37E-03,2.59,0.000186864,3.597222222
5.66E-03,2.6,0.000232305,3.611111111
3.18E-03,2.61,7.64E-05,3.625
-4.14E-04,2.62,0.000309482,3.638888889
-3.83E-03,2.63,0.000192128,3.652777778
-4.10E-03,2.64,9.70E-05,3.666666667
-1.56E-03,2.65,0.000336551,3.680555556
-2.42E-03,2.66,0.000224342,3.694444444
4.98E-04,2.67,0.000285226,3.708333333
4.07E-03,2.68,0.000426813,3.722222222
7.77E-03,2.69,0.000376854,3.736111111
5.65E-03,2.7,9.82E-05,3.75
